"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.915190417E-1,-2.268826589E-2,3.982548416E-1,2.057595849E-1
1.987446083E0,-7.806200385E-1,-5.238816738E-1,-9.952206910E-2
2.983372708E0,7.614518404E-1,-3.050090075E-1,-7.547066808E-1
3.979297292E0,-5.400837660E-1,1.005988345E-1,-2.852508426E-1
4.975220542E0,-8.387516737E-1,-4.998605698E-2,3.762082756E-1
5.971142208E0,-1.786180973E0,-7.398878038E-2,3.999271095E-1
6.967062542E0,-9.344944954E-1,-1.786303669E-1,5.198780894E-1
7.962980542E0,-1.024717450E0,-1.390895694E-1,5.970005393E-1
8.958896792E0,-1.325772524E0,2.352023423E-1,3.195977509E-1
9.954810667E0,-1.784170568E-1,5.954577923E-1,5.662504956E-2
1.095072192E1,1.911303550E-1,3.577873707E-1,2.964664102E-1
1.194663304E1,7.538160086E-1,1.313183904E-1,-2.074619681E-1
1.294253992E1,7.650035620E-1,-3.116002381E-1,-1.771352142E-1
1.393844454E1,6.589658856E-1,-1.019774228E-1,-6.582052261E-2
1.493434742E1,4.953363240E-1,1.121727079E-1,-1.338562518E-1
1.593024879E1,1.000170350E0,1.413431391E-2,-9.589257836E-2
1.692614692E1,8.764634132E-1,-8.384364098E-2,-3.175090849E-1
1.792204221E1,6.256880164E-1,1.501842588E-1,-2.413278222E-1
1.891793629E1,6.799269915E-1,2.229651362E-1,-1.413971633E-1
1.991382817E1,4.441745579E-1,1.498810202E-1,-2.777065933E-1
2.090971808E1,3.940994740E-1,4.314657748E-1,-3.022202849E-1
2.190560742E1,6.809300780E-1,2.662921846E-1,-3.501860499E-1
2.290149592E1,1.609234363E-1,3.738040030E-1,-2.121885121E-1
2.389738229E1,1.529023051E-1,2.986593843E-1,-3.120853901E-1
2.489326921E1,2.742715925E-2,5.276389718E-1,-5.012028813E-1
2.588915521E1,-5.611189008E-1,4.361167252E-1,6.263061762E-1
2.688504196E1,-9.357531071E-1,2.238343209E-1,3.611780703E-1
2.788092733E1,-7.558828592E-1,2.993535101E-1,2.452703565E-1
2.887681496E1,-1.124485731E0,1.126240492E-1,3.989807963E-1
2.987270371E1,-1.131452560E0,1.722478569E-1,4.907195568E-1
3.086859033E1,-8.388634324E-1,-2.733363770E-2,5.979517698E-1
3.186448092E1,-5.563160181E-1,-1.578052193E-1,7.008801103E-1
3.286036942E1,-6.143277884E-1,-6.723657995E-2,9.435308725E-2
3.385625933E1,-9.139169008E-2,1.522506028E-1,-1.544938684E-1
3.485214917E1,-2.737282515E-1,-1.844479442E-1,-1.564253867E-1
3.584803608E1,-3.340750933E-1,6.572393328E-2,1.010355279E-1
3.684392329E1,-5.292652845E-1,-3.142632246E-1,-1.797932535E-1
3.783980979E1,2.714557052E-1,2.181201130E-1,-5.888716578E-1
3.883569296E1,5.069928765E-1,-3.161024749E-1,-1.892997772E-1
3.983157508E1,4.926278591E-1,-3.434313238E-1,-2.694959342E-1
4.082745696E1,3.978835344E-1,1.907650381E-1,-2.460451573E-1
4.182333492E1,2.350682020E-1,1.010521688E-2,-3.356174231E-1
4.281921208E1,-1.717743464E-2,-3.457047939E-1,1.207157075E-1
4.381508767E1,2.632173300E-1,5.028882995E-2,3.383768350E-2
4.481096279E1,-2.115767151E-1,-7.048538327E-2,2.957554162E-1
4.580683696E1,-7.762774080E-2,-6.637601554E-2,6.185411289E-2
4.680270917E1,2.451985776E-1,1.871853322E-1,-3.050522506E-1
4.779858158E1,-5.011524260E-2,2.062189430E-1,1.358532906E-1
4.879445283E1,1.145577990E-2,6.335368752E-2,1.758196205E-1
4.979032254E1,2.593607060E-4,5.676165223E-2,-6.728632003E-2
5.078619246E1,1.180680022E-1,3.777608275E-2,1.211505756E-1
5.178206279E1,-1.851946265E-1,2.688210905E-1,2.542409301E-1
5.277793054E1,3.092021868E-2,1.844413579E-1,-1.894361973E-1
5.377379871E1,-1.427967250E-1,3.698761165E-1,3.906517103E-2
5.476966479E1,3.705116212E-1,2.987901866E-1,7.444270700E-2
5.576552983E1,-3.415431129E-3,1.791479141E-1,3.253701329E-2
5.676139229E1,-1.907444187E-2,1.438203752E-1,-7.470736746E-3
5.775725467E1,-4.975176156E-1,3.549937606E-1,2.304346412E-1
5.875311492E1,-3.548738360E-1,2.031350136E-1,1.488089859E-1
5.974897179E1,-1.496949345E-1,-1.306755990E-1,2.449756563E-1
6.074482729E1,-2.764641941E-1,-9.260510653E-2,7.772942632E-2
6.174068204E1,-4.098583385E-2,3.818986565E-2,5.911420286E-2
6.273653508E1,-4.001989961E-1,-4.016490877E-1,1.427469850E-1
6.373238571E1,-6.650598347E-2,2.027778029E-1,4.868773818E-1
6.472823442E1,-8.991871774E-2,-1.194492206E-1,1.275915951E-1
6.572408242E1,1.770100594E-1,8.881814778E-2,1.499326974E-1
6.671992821E1,4.851199090E-1,1.391097903E-1,-2.234179378E-1
6.771577446E1,8.976573944E-1,-6.190926954E-2,-3.926554918E-1
6.871161854E1,-9.833751619E-2,-6.061418653E-1,-1.079130173E-1
6.970746171E1,-7.303902507E-1,-1.012585536E-1,5.589751005E-1
7.070330329E1,-6.557786465E-2,5.596578717E-1,-2.030200362E-1
7.169914358E1,1.277182221E0,7.547973990E-1,8.342044428E-3
7.269498304E1,2.882378995E-1,1.031399667E-1,-8.299767375E-1
7.369081917E1,2.686781287E-1,1.295318753E-1,-3.050703406E-1
7.468665496E1,2.155295387E-2,2.478876412E-1,1.423554718E-1
7.568248754E1,7.122915983E-2,-3.940218985E-1,-2.956601977E-1
7.667831967E1,-6.044542193E-1,-6.016769409E-1,-1.141292229E-1
7.767414942E1,1.867643595E-1,2.353600115E-1,-7.637342811E-2
7.866997729E1,-2.023921162E-1,1.181890965E-1,3.068830371E-1
7.966580304E1,2.791066170E-1,2.984127998E-1,6.811393797E-2
8.066162796E1,-1.599612832E-1,1.794075221E-2,1.116017252E-1