"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.915190417E-1,3.914822006E1,6.920021057E0,-2.218626404E1
1.987446083E0,3.686124039E1,4.306507111E0,-2.466070557E1
2.983372708E0,3.542422104E1,5.056684494E0,-2.733801270E1
3.979297292E0,3.077315140E1,6.497442245E0,-3.197891998E1
4.975220542E0,2.548110580E1,6.634380341E0,-3.557135773E1
5.971142208E0,2.545318985E1,-2.974527359E0,-3.461789703E1
6.967062542E0,2.373176956E1,-6.254262924E0,-3.053786469E1
7.962980542E0,2.526793289E1,-5.171094894E0,-2.402825165E1
8.958896792E0,2.789682388E1,-4.439023972E0,-1.727312469E1
9.954810667E0,3.048289871E1,-2.979490280E0,-1.166601562E1
1.095072192E1,3.170458603E1,2.382329941E0,-1.258095551E1
1.194663304E1,3.105086899E1,5.646072388E0,-1.975361633E1
1.294253992E1,3.037139511E1,7.828859329E0,-2.700768280E1
1.393844454E1,3.033379745E1,4.661277771E0,-3.115938568E1
1.493434742E1,2.981417465E1,3.186990738E0,-3.408846283E1
1.593024879E1,2.886166763E1,1.983947754E0,-3.734980011E1
1.692614692E1,2.656572342E1,1.080627441E-1,-4.030939484E1
1.792204221E1,2.606434250E1,-3.868238449E0,-4.238164520E1
1.891793629E1,2.649443436E1,-4.824800491E0,-4.187097931E1
1.991382817E1,2.791485214E1,-7.469636917E0,-4.215409088E1
2.090971808E1,2.979152298E1,-8.950086594E0,-4.210117340E1
2.190560742E1,3.240481186E1,-1.178526878E1,-3.986817169E1
2.290149592E1,3.479579544E1,-1.149776649E1,-3.684381866E1
2.389738229E1,3.416552353E1,-1.266479301E1,-3.478969574E1
2.489326921E1,3.333009720E1,-1.294199944E1,-3.334899139E1
2.588915521E1,3.081898117E1,-1.510067940E1,-3.049741364E1
2.688504196E1,2.994082260E1,-1.418917656E1,-2.902622223E1
2.788092733E1,2.913719559E1,-1.365258980E1,-3.022522736E1
2.887681496E1,3.057413864E1,-1.659196281E1,-2.927512360E1
2.987270371E1,2.944110489E1,-2.300962639E1,-2.785679626E1
3.086859033E1,3.064091873E1,-2.395239067E1,-2.294178772E1
3.186448092E1,2.916513443E1,-2.367628288E1,-1.994121552E1
3.286036942E1,2.769185257E1,-1.812981224E1,-2.463124084E1
3.385625933E1,2.728923416E1,-2.073591423E1,-2.578995514E1
3.485214917E1,2.729343033E1,-2.394347954E1,-2.544379425E1
3.584803608E1,2.657410812E1,-2.366798210E1,-2.383975983E1
3.684392329E1,2.414818954E1,-2.456414223E1,-2.439946747E1
3.783980979E1,2.152126694E1,-2.659020042E1,-2.205725098E1
3.883569296E1,2.012459946E1,-2.658481407E1,-1.651284790E1
3.983157508E1,1.713590622E1,-2.541716194E1,-1.329251099E1
4.082745696E1,1.634511185E1,-2.286343956E1,-7.518798828E0
4.182333492E1,1.689457321E1,-1.651362038E1,-7.047103882E0
4.281921208E1,2.003567886E1,-1.127454948E1,-1.292949677E1
4.381508767E1,2.402991867E1,-1.237203407E1,-1.895529938E1
4.481096279E1,2.713326645E1,-1.937162590E1,-2.030493927E1
4.580683696E1,3.072100449E1,-2.193920326E1,-1.335836792E1
4.680270917E1,3.083119583E1,-1.568727303E1,-9.998657227E0
4.779858158E1,2.749981308E1,-7.497144699E0,-1.833643341E1
4.879445283E1,2.380426407E1,-7.359907150E0,-3.206220245E1
4.979032254E1,2.310531235E1,-1.456439400E1,-4.257961273E1
5.078619246E1,2.805820084E1,-3.008169746E1,-3.986193085E1
5.178206279E1,3.447073746E1,-3.438685608E1,-2.926877594E1
5.277793054E1,3.542354965E1,-3.180220222E1,-2.375498962E1
5.377379871E1,3.581397629E1,-2.819328499E1,-2.428377533E1
5.476966479E1,3.451640701E1,-2.660531044E1,-2.526433563E1
5.576552983E1,3.127940750E1,-2.736866570E1,-2.292929077E1
5.676139229E1,2.659671402E1,-2.888263512E1,-2.172233582E1
5.775725467E1,2.606274033E1,-2.910483742E1,-2.078788757E1
5.875311492E1,2.919892502E1,-2.908341789E1,-1.657916260E1
5.974897179E1,3.055213547E1,-2.701369667E1,-1.664775085E1
6.074482729E1,3.147734451E1,-2.446951485E1,-1.707062531E1
6.174068204E1,3.104748154E1,-2.231972694E1,-1.724536896E1
6.273653508E1,2.827684402E1,-1.946227455E1,-2.046182251E1
6.373238571E1,2.515713882E1,-2.071240044E1,-2.328696442E1
6.472823442E1,2.514506149E1,-2.331159401E1,-2.374660492E1
6.572408242E1,2.314579391E1,-2.810873985E1,-2.027980042E1
6.671992821E1,1.949377823E1,-2.824802208E1,-1.776816559E1
6.771577446E1,1.961059189E1,-2.480344963E1,-1.662333679E1
6.871161854E1,1.943098831E1,-2.387013054E1,-1.953944397E1
6.970746171E1,2.047952652E1,-2.586762428E1,-2.135692596E1
7.070330329E1,2.480547714E1,-2.489502907E1,-2.671198273E1
7.169914358E1,3.095499802E1,-2.591351128E1,-3.119629669E1
7.269498304E1,3.988240433E1,-1.950537300E1,-3.663210297E1
7.369081917E1,4.638412857E1,-1.720345879E1,-3.704703522E1
7.468665496E1,4.779996109E1,-7.263017654E0,-4.336586761E1
7.568248754E1,5.409743118E1,-5.112798691E0,-4.126949310E1
7.667831967E1,5.776911545E1,-3.131765366E0,-4.208634186E1
7.767414942E1,5.902619553E1,-2.331464767E0,-4.097382355E1
7.866997729E1,5.876819992E1,2.864933014E-1,-3.750841522E1
7.966580304E1,5.623457718E1,-2.976774216E0,-3.434174347E1
8.066162796E1,5.480812454E1,2.969898224E0,-3.077442169E1